Title,Location,Latitude,Longitude
Bullitt,Brocklebank Apartments (1000 Mason Street),37.795219,-122.420782
Bullitt,Bay Bridge,37.814343,-122.358463
Bullitt,2700 Vallejo Street (Pacific Heights),37.7946325,-122.4420266
Bullitt,20th & Vermont Streets (Potrero Hill),37.759558,-122.404011
Bullitt,1153-57 Taylor Street,37.783051121951,-122.41073221951
Burglar,California Academy of Sciences (Golden Gate Park),37.787438,-122.445402
Burglar,1400 18th Street,37.7626835,-122.3968488
Burglar,1627 Haight Street,37.769724333333,-122.44915641667
Burglar,Green Valley Restaurant (510 Green Street Near Grant),37.798394,-122.417829
By Hook or By Crook,"Department of Public Health (101 Grove Street at Polk, Civic Center)",37.795219,-122.420782
By Hook or By Crook,"Royan Hotel (405 Valencia Street, Mission District)",37.795219,-122.420782
By Hook or By Crook,The Lexington Club (3464 19th Street at Lexington),37.795219,-122.420782
Can't Stop the Music,101 Henry Adams Place,37.7681092,-122.4035207
Casualties of War,Mission Delores Park (Mission District) via J-Church MUNI Train,37.795219,-122.420782
Chan is Missing,"Li Po (916 Grant Avenue at Washington, Chinatown)",37.795219,-122.420782
Chan is Missing,Golden Dragon Restaurant (816 Washington Street at Grant),37.791934,-122.415475
Cherish,387 Fair Oaks at 25th Street,37.750304,-122.42383
Chu Chu and the Philly Flash,22nd and Carolina Streets (Potrero Hill),37.795219,-122.420782
Chu Chu and the Philly Flash,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.738952,-122.425815
Chu Chu and the Philly Flash,Transbay Terminal (Mission Street at 1st Street),37.795219,-122.420782
City of Angels,San Francisco Public Library Main Branch (100 Larkin Street),37.795219,-122.420782
Class Action,Bix Restaurant (56 Gold Street),37.795219,-122.420782
Class Action,City Hall,37.795219,-122.420782
Class Action,"Mission Delores (3321 16th Street, Mision District)",37.795219,-122.420782
Common Threads: Stories From the Quilt,The Castro,37.795219,-122.420782
Confessions of a Burning Man,,37.795219,-122.420782
Copycat,Twin Peaks,37.757588,-122.447915
Copycat,Treasure Island,37.815742,-122.371546
Copycat,Sound Factory (1st and Harrison Streets),37.795219,-122.420782
Copycat,"Java House (Pier 40, Embarcadero)",37.766954,-122.443694
Copycat,Alta Plaza Park,37.801707,-122.402935
Copycat,82 & 67 Rico Way (Marina District),37.795219,-122.420782
Crackers,24th Street between Mission Street and Potrero Avenue,37.753004,-122.406336
Crackers,La Rondalla (Valencia and 20th Streets),37.795219,-122.420782
CSI: NY- episode 903,Palace of Fine Arts,37.795219,-122.420782
Dark Passage,"Filbert Steps, Filbert Street",37.800547,-122.415943
Dark Passage,Golden Gate Bridge,37.810977,-122.477578
Dark Passage,The Malloch Apartment Building (1360 Montgomery Street),37.795219,-122.420782
Dawn of the Planet of the Apes,California & Powell ,37.792043,-122.409171
Dawn of the Planet of the Apes,Alioto Park,37.795219,-122.420782
Dawn of the Planet of the Apes,Columbus & Pacific Ave,37.797065,-122.405513
Dawn of the Planet of the Apes,University Club,37.726517,-122.414072
Dawn of the Planet of the Apes,Filbert St. from Hyde to Leavenworth,37.800547,-122.415943
Dawn of the Planet of the Apes,California St from Mason to Kearny,37.787438,-122.445402
Dawn of the Planet of the Apes,City Hall,37.795219,-122.420782
Days of Wine and Roses,,37.795219,-122.420782
Desperate Measures,,37.795219,-122.420782
Dim Sum: A Little Bit of Heart,San Francisco International Airport,37.795219,-122.420782
Dim Sum: A Little Bit of Heart,"Li Po (916 Grant Avenue at Washington, Chinatown)",37.795219,-122.420782
Dim Sum: A Little Bit of Heart,Chinatown,37.794993,-122.40767
Dirty Harry,Mission Delores Park (Mission District),37.795219,-122.420782
Dirty Harry,"Marina Green, Marina District",37.805368,-122.44565
Dirty Harry,"Washington Square, North Beach",37.794489,-122.411663
Dirty Harry,The Embarcadero,37.794996,-122.394324
Dirty Harry,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",37.795219,-122.420782
Dirty Harry,San Francisco Drydock (20th and Illinois Streets),37.795219,-122.420782
Dirty Harry,Portsmouth Square (Chinatown),37.795219,-122.420782
Dirty Harry,"Mt. Davidson Cross, Mt. Davidson",37.795219,-122.420782
Dirty Harry,"Kezar Stadium, Golden Gate Park",37.771428,-122.45398
Dirty Harry,Holiday Inn Select Downtown Hotel (750 Kearney Street),37.745028,-122.405574
Dirty Harry,Hall of Justice (850 Bryant Street),37.732622,-122.407024
Dirty Harry,Forest Hill Station- MUNI,37.810468,-122.366766
Dirty Harry,Dante Building (1606 Stockton Street at Union),37.795219,-122.420782
Dirty Harry,"California Hall (625 Polk Street, Van Ness/Civic Center)",37.818114,-122.370428
Dirty Harry,Bank of America Building (555 California Street),37.795219,-122.420782
D.O.A,Powell & California Streets,37.792043,-122.409171
D.O.A,Market Street (from 6th- 4th Streets),37.774358,-122.420254
D.O.A,Market & Steuart Streets (Financial District),37.79448,-122.394748
D.O.A,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle),37.790199,-122.404671
D.O.A,Chambord Apartments (1298 Sacramento Street at Jones),37.795219,-122.420782
D.O.A,Westin St. Francis Hotel (335 Powell Street),37.795219,-122.420782
D.O.A,Union Square,37.799616,-122.415762
D.O.A,Southern Pacific Memorial Hospital (1400 Fell Street),37.795219,-122.420782
